Hashtag,Title,Publication Date,Link,processed_timestamp,production_url,data_source
#bangladeshhindus,Hindu Groups Protest Attacks on Minorities in Bangladesh | Subscribe to Firstpost,2024-08-25,https://www.youtube.com/watch?v=JrKvxsHGWWU,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh । Hindu । Indraprastha,2025-05-22,https://www.youtube.com/watch?v=qWirfq30OTs,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh: Fear among Hindus as religious festival starts | DW Documentary,2023-06-22,https://www.youtube.com/watch?v=VoPyuD6flUk,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh Violence: Anarchy Under Yunus As Hindu Temples & Homes Burn, Minorities Targeted",2025-05-31,https://www.youtube.com/watch?v=cy7NcliyiKY,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Hindus in Bangladesh rally to demand protection from attacks,2024-11-23,https://www.youtube.com/watch?v=61Ao7KVlMzU,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Why are Hindus being killed in Bangladesh? | Connecting The Dots,2025-05-22,https://www.youtube.com/watch?v=tHyjuSHUsmw,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Sadhguru | PAKISTAN is Better Than BANGLADESH | HINDUS are DYING | 4K,2025-02-21,https://www.youtube.com/watch?v=LOJPrjW4rTc,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladeshi Hindu: 'Awami League Has Done Atrocities Against Minority Hindus'| SoSouth,2024-08-25,https://www.youtube.com/watch?v=54nR_0-fjjQ,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Why are Bangladeshi Hindus being  targeted ? #shorts #bangladesh #hindu #geopolitics #infotainment,2024-08-25,https://www.youtube.com/watch?v=kggqrda8Wj8,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladeshi Hindus, Places of Worship Act & Waqf – Times Now Interviews Sadhguru at the Kumbh Mela",2025-02-21,https://www.youtube.com/watch?v=Nr6DJ8mWSkU,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Exposed: How attacks on Hindus in Bangladesh are driven by fake news,2024-08-25,https://www.youtube.com/watch?v=OssR80j7MU0,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh celebrates Hindu festival amid lingering political tensions | DW News,2024-10-24,https://www.youtube.com/watch?v=7FzWdwh637I,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,India-Bangladesh row over Hindu monk's arrest | Explained | BBC News India,2024-12-23,https://www.youtube.com/watch?v=eNEHYXNnQXI,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Acknowledges 88 Incidents Of Violence Against Hindus & Minorities | India Bangladesh News,2024-12-23,https://www.youtube.com/watch?v=rhCWIDp-D_E,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Life of Hindus in Bangladesh #bangladesh #dhaka #hindu,2024-08-25,https://www.youtube.com/watch?v=_jwhKcAdl80,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Deepak Kumar Goswami Speaking: Being Hindu in Bangladesh is Not a Black and White Story,2025-06-12,https://www.youtube.com/watch?v=GS6GctVRAEk,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Hindus Targeted? Unrest As Monk Held For 'Sedition'| ISKCON Seeks India's Intervention?,2024-12-23,https://www.youtube.com/watch?v=E4cFTHikxZ0,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"""Save Hindus"": Hindus in Bangladesh Protest | Vantage with Palki Sharma | Subscribe to Firstpost",2024-08-25,https://www.youtube.com/watch?v=PkcNazNIK3o,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Riots | Ground Report: Xenophobia Not Illegal In Bangladesh? | Bangladesh Hindus | News18,2024-08-25,https://www.youtube.com/watch?v=Q1mQWsRxnTo,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh Hindu Attack News: 2,200 Cases Of Voilence Against Hindus In Bangladesh | India Today",2024-12-23,https://www.youtube.com/watch?v=Ri45_0hPN1E,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,India slams Hindu Priest's Arrest in Bangladesh | Vantage with Palki Sharma,2024-12-23,https://www.youtube.com/watch?v=NFjFUsGn4r4,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
