CONT,ID,ISO,NAME,ISONAME,region,pop,popAGR,popUrban,totalFR,AdolescentFPpct,AdolescentFPyear,AdultLiteracypct,MaleSchoolpct,FemaleSchoolpct,GNI,PopPovertypct,PopPovertyYear
91,180,044,BAHAMAS,BAHAMAS,AMR,"323,063",1.34%,90.00%,2.3,,,,85.00%,88.00%,16140,,
91,227,084,BELIZE,BELIZE,AMR,"269,736",2.14%,48.60%,3.1,12.50%,1998,76.90%,98.00%,100.00%,6510,,
91,260,124,CANADA,CANADA,AMR,"32,268,243",0.87%,81.10%,1.5,6.50%,1997,,100.00%,100.00%,30660,,
91,295,188,COSTA RICA,COSTA RICA,AMR,"4,327,228",2.04%,61.70%,2.2,17.40%,1999,95.80%,90.00%,91.00%,9530,2.00%,2000
91,300,192,CUBA,CUBA,AMR,"11,269,400",0.34%,76.00%,1.6,16.00%,2000,99.80%,96.00%,95.00%,,,
91,320,214,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,AMR,"8,894,907",1.34%,60.10%,2.7,10.20%,1999,87.70%,99.00%,94.00%,6750,,1998
91,330,222,EL SALVADOR,EL SALVADOR,AMR,"6,880,951",1.78%,60.10%,2.8,,,79.70%,90.00%,90.00%,4980,31.10%,2000
91,415,320,GUATEMALA,GUATEMALA,AMR,"12,599,059",2.12%,47.20%,4.5,12.10%,1997,69.10%,89.00%,86.00%,4140,16.00%,2000
91,420,332,HAITI,HAITI,AMR,"8,527,777",1.30%,38.80%,3.9,8.50%,1998,51.90%,,,1680,,
91,430,340,HONDURAS,HONDURAS,AMR,"7,204,723",2.28%,46.40%,3.6,,,80.00%,87.00%,88.00%,2710,20.70%,1999
91,487,388,JAMAICA,JAMAICA,AMR,"2,650,713",0.61%,52.20%,2.4,,,87.60%,94.00%,95.00%,3630,,2000
91,595,484,MEXICO,MEXICO,AMR,"107,029,360",1.34%,76.00%,2.3,,,90.30%,99.00%,100.00%,9590,9.90%,2000
91,665,558,NICARAGUA,NICARAGUA,AMR,"5,486,685",1.85%,58.10%,3.2,18.50%,1999,76.70%,86.00%,85.00%,3300,45.10%,2001
91,710,591,PANAMA,PANAMA,AMR,"3,231,502",1.75%,57.80%,2.7,17.90%,2000,91.90%,100.00%,99.00%,6870,7.20%,2000
91,763,659,SAINT KITTS/NEVIS,SAINT KITTS AND NEVIS,AMR,"42,696",0.47%,31.90%,2.4,,,,,,11190,,
91,926,840,UNITED STATES,UNITED STATES,AMR,"298,212,895",0.92%,80.80%,2,11.60%,2000,,92.00%,93.00%,39710,,
92,149,028,ANTIGUA/BARBUDA,ANTIGUA AND BARBUDA,AMR,"81,485",1.48%,38.40%,2.3,,,,,,10360,,
92,150,032,ARGENTINA,ARGENTINA,AMR,"38,747,148",0.97%,90.60%,2.3,13.30%,2000,97.20%,,,12460,3.30%,2001
92,184,052,BARBADOS,BARBADOS,AMR,"269,556",0.26%,52.90%,1.5,,,99.70%,100.00%,100.00%,15060,,
92,205,068,BOLIVIA,BOLIVIA,AMR,"9,182,015",1.88%,64.40%,3.8,10.90%,2002,86.50%,95.00%,95.00%,2590,14.40%,1999
92,220,076,BRAZIL,BRAZIL,AMR,"186,404,913",1.32%,84.20%,2.3,,,88.40%,98.00%,91.00%,8020,8.20%,2001
92,275,152,CHILE,CHILE,AMR,"16,295,102",1.14%,87.70%,2,15.50%,1999,95.70%,85.00%,84.00%,10500,,2000
92,285,170,COLOMBIA,COLOMBIA,AMR,"45,600,244",1.54%,77.40%,2.6,18.80%,2004,94.20%,88.00%,87.00%,6820,8.20%,1999
92,318,212,DOMINICA,DOMINICA,AMR,"78,940",0.45%,72.70%,2,,,,83.00%,79.00%,5250,,
92,325,218,ECUADOR,ECUADOR,AMR,"13,228,423",1.36%,62.80%,2.7,13.50%,1997,91.00%,99.00%,100.00%,3690,17.70%,1998
92,406,308,GRENADA,GRENADA,AMR,"102,924",0.28%,42.20%,2.4,,,,89.00%,80.00%,7000,,
92,418,328,GUYANA,GUYANA,AMR,"751,218",0.24%,38.50%,2.2,,,,100.00%,98.00%,4110,,
92,715,600,PARAGUAY,PARAGUAY,AMR,"6,158,259",2.23%,58.50%,3.8,10.00%,1997,91.60%,89.00%,89.00%,4870,16.40%,2002
92,720,604,PERU,PERU,AMR,"27,968,244",1.46%,74.60%,2.8,11.50%,1998,87.70%,100.00%,100.00%,5370,18.10%,2000
92,770,662,ST. LUCIA,SAINT LUCIA,AMR,"160,765",0.76%,31.30%,2.2,14.10%,2000,90.10%,99.00%,100.00%,5560,,
92,775,670,SAINT VINCENT/GRENADINES,SAINT VINCENT AND THE GRENADINES,AMR,"119,051",0.47%,60.50%,2.2,,,,90.00%,90.00%,6250,,
92,840,740,SURINAME,SURINAME,AMR,"449,238",0.74%,77.20%,2.6,12.50%,2000,88.00%,96.00%,98.00%,,,
92,887,780,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,AMR,"1,305,236",0.33%,76.20%,1.6,12.60%,1997,98.50%,91.00%,90.00%,11180,,
92,930,858,URUGUAY,URUGUAY,AMR,"3,463,197",0.67%,93.00%,2.3,14.80%,2000,97.70%,90.00%,91.00%,9070,,2000
92,940,862,VENEZUELA,VENEZUELA,AMR,"26,749,114",1.75%,88.10%,2.7,18.10%,2000,93.00%,90.00%,91.00%,5760,14.30%,1998
93,115,031,AZERBAIJAN,AZERBAIJAN,EUR,"8,410,801",0.70%,49.90%,1.8,10.60%,2000,98.80%,81.00%,79.00%,3830,3.70%,2001
93,120,008,ALBANIA,ALBANIA,EUR,"3,129,678",-0.07%,45.00%,2.2,3.80%,1999,98.70%,96.00%,94.00%,5070,,2002
93,135,051,ARMENIA,ARMENIA,EUR,"3,016,312",-0.64%,64.10%,1.3,15.00%,1998,99.40%,95.00%,93.00%,4270,12.80%,1998
93,140,020,ANDORRA,ANDORRA,EUR,"67,151",0.41%,91.30%,1.3,,,,88.00%,90.00%,,,
93,165,040,AUSTRIA,AUSTRIA,EUR,"8,189,444",0.15%,65.80%,1.4,5.20%,2001,,89.00%,91.00%,31790,,
93,185,070,BOSNIA/HERZEGOVINA,BOSNIA AND HERZEGOVINA,EUR,"3,907,074",1.35%,45.30%,1.3,8.40%,1998,94.60%,,,7430,,
93,190,056,BELGIUM,BELGIUM,EUR,"10,419,049",0.26%,97.30%,1.7,,,,100.00%,100.00%,31360,,
93,211,112,BELARUS,BELARUS,EUR,"9,755,106",-0.44%,71.60%,1.2,10.40%,2001,99.60%,95.00%,94.00%,6900,,2000
93,245,100,BULGARIA,BULGARIA,EUR,"7,725,965",-0.64%,70.50%,1.2,17.90%,2001,98.20%,91.00%,90.00%,7870,4.70%,2001
93,310,203,CZECH REPUBLIC,CZECH REPUBLIC,EUR,"10,219,603",-0.10%,74.50%,1.2,5.00%,2001,,87.00%,87.00%,18400,,
93,315,208,DENMARK,DENMARK,EUR,"5,430,590",0.35%,85.50%,1.8,2.20%,2001,,100.00%,100.00%,31550,,
93,331,233,ESTONIA,ESTONIA,EUR,"1,329,697",-0.80%,69.60%,1.4,9.00%,2001,99.80%,95.00%,94.00%,13190,,1998
93,340,246,FINLAND,FINLAND,EUR,"5,249,060",0.25%,60.90%,1.7,3.10%,2001,,100.00%,100.00%,29560,,
93,350,250,FRANCE,FRANCE,EUR,"60,495,537",0.35%,76.70%,1.9,2.80%,1999,,99.00%,99.00%,29320,,
93,390,268,GEORGIA,GEORGIA,EUR,"4,474,404",-1.07%,51.50%,1.4,18.70%,1998,,89.00%,88.00%,2930,2.70%,2001
93,394,276,GERMANY,GERMANY,EUR,"82,689,210",0.12%,88.50%,1.3,4.80%,2000,,,,27950,,
93,400,300,GREECE,GREECE,EUR,"11,119,891",0.41%,61.40%,1.2,4.40%,1999,91.00%,99.00%,99.00%,22000,,
